id,slug,name,url,params
1,gs,The Guide to the Scriptures,https://www.lds.org/scriptures/gs,?letter={}
2,triple-index,Index to the Triple Combination,https://www.lds.org/scriptures/triple-index,?letter={}
3,tg,Topical Guide,https://www.lds.org/scriptures/tg,?letter={}
4,bd,Bible Dictionary,https://www.lds.org/scriptures/bd,?letter={}
5,topics,Gospel Topics,https://www.lds.org/topics,?letter={}
6,gc-topics,All Topics,https://www.lds.org/general-conference/topics,
7,true-to-the-faith,True to the Faith,https://www.lds.org/manual/true-to-the-faith,
8,eom,Encyclopedia of Mormonism,http://eom.byu.edu/,index.php/Category:{}
9,hymn-by-topic,Find a Hymn By Topic,https://www.lds.org/music/index/hymns/topic,/{}
